ID,Treatment,Rooms,Shared_Bathroom,Monthly_Rate,Region,Greater_Region,Photos,rent_control,Available_Now,Responded
1,0,3,0,2000,San Francisco,San Francisco,0,1,0,1
2,1,1,0,1200,Pacific Heights,San Francisco,1,1,1,0
3,0,4,1,1850,Marina,San Francisco,1,1,listing_deleted,1
4,1,2,0,2000,SOMA,San Francisco,1,1,1,1
5,1,2,0,3600,SOMA,San Francisco,1,1,listing_deleted,1
6,0,3,1,1000,Inner Richmond,San Francisco,1,1,0,1
7,1,4,1,1022,Presidio,San Francisco,1,1,1,0
8,1,3,0,2000,Noe Valley,San Francisco,1,1,0,1
9,1,2,1,2150,Pacific Heights,San Francisco,1,1,1,1
10,0,3,1,1400,SOMA,San Francisco,1,1,1,0
11,1,2,1,1020,Tenderloin,San Francisco,1,1,listing_deleted,1
12,0,2,0,1200,San Jose North,South Bay,1,1,1,1
13,1,2,0,1300,Sunnyvale,South Bay,0,0,0,0
14,1,2,0,1250,San Jose West,South Bay,0,1,1,0
15,0,2,1,950,Santa Clara,South Bay,1,0,1,0
16,1,2,1,650,San Jose South,South Bay,1,1,listing_deleted,1
17,0,2,0,800,San Jose South,South Bay,1,1,0,0
18,0,2,0,2080,Sunnyvale,South Bay,1,0,listing_deleted,1
19,0,2,1,650,Campbell,South Bay,1,0,1,1
20,1,3,1,1500,Sunnyvale,South Bay,1,0,0,1
21,1,2,1,1300,portola district,San Francisco,1,1,1,1
22,1,2,1,2053,financial district,San Francisco,1,1,0,1
23,1,4,1,1700,mission district,San Francisco,1,1,0,1
24,1,5,1,1390,Bayview,San Francisco,1,1,listing_deleted,1
25,1,6,1,1130,lower height,San Francisco,1,1,1,0
26,1,4,1,1200,mission district,San Francisco,0,1,0,0
27,0,5,1,1700,alamo square / nopa,San Francisco,1,1,0,0
28,0,2,1,1980,mission district,San Francisco,1,1,1,1
29,0,5,1,1525,west portal / forest hill,San Francisco,1,1,0,1
30,0,4,1,1223,laurel hts / presidio,San Francisco,1,1,0,0
31,1,2,0,1900,santa clara,South Bay,1,0,1,1
32,1,3,0,1400,mountain view,South Bay,1,1,0,1
33,1,1,1,1000,mountain view,South Bay,1,1,1,0
